Cross Section (mm),Jak ,,Mahogany,,Sp. Class Upper,,Kumbuk,,Milla,,Del,,Class 1,,Class 1 (Other),,Grandis,,Class 11,,Ginipus,,Cypress,,Pinus,,Class 111,,Microcorys,,Tamarind,
, (rs.), (Length 5.6m & above)(Rs), (Rs.), (Length 5.6m & above)(Rs), (rs.), (Length 5.6m & above)(Rs),  (Rs.), (Length 5.6m & above)(Rs),(Rs.), (Length 5.6m & above)(Rs), (rs.), (Length 5.6m & above)(Rs), (Rs.), (Length 5.6m & above)(Rs), (rs.), (Length 5.6m & above)(Rs),  (Rs.), (Length 5.6m & above)(Rs), (rs.), (Length 5.6m & above)(Rs), (Rs.),5.6m&above, (Rs.), (Length 5.6m & above)(Rs),  (Rs.), (Length 5.6m & above)(Rs),(Rs.),5.6m&above, (rs.), (Length 5.6m & above)(Rs), (Rs.), (Length 5.6m & above)(Rs)
31x150,835.48,852.25,531.07,541.70,410.26,418.46,1340.10,1352.80,575.40,586.95,304.57,310.70,365.52,372.76,332.29,338.88,357.45,364.66,198.43,202.36,295.48,301.43,287.72,293.42,276.62,290.45,117.58,119.89,508.11,518.23,355.28,362.32
31x175,1015.23,1035.52,642.64,655.46,497.57,507.62,153.45,1576.16,699.20,713.16,359.90,367.06,431.84,440.48,392.58,400.44,422.73,431.18,231.92,236.66,345.53,352.46,336.29,343.16,322.71,338.84,137.10,139.87,599.72,611.78,419.27,427.81
31x200,1318.78,1345.00,835.30,852.04,590.67,648.76,1786.81,1799.51,908.25,926.31,415.11,423.42,498.16,508.07,452.88,461.88,491.89,501.87,268.19,273.62,399.53,407.63,388.88,396.75,368.79,387.23,153.73,156.85,690.92,704.78,483.02,492.72
31x225,1542.74,1573.84,980.71,1000.46,762.76,778.01,2311.67,2324.38,1062.50,1083.92,473.67,483.14,568.42,579.73,516.75,527.03,557.17,568.40,307.46,313.58,458.00,467.09,445.82,454.69,414.88,435.62,173.48,176.95,790.85,806.79,553.01,564.10
31x250,1972.83,2012.17,1252.02,1276.85,982.56,1002.31,2568.54,2581.24,1358.70,1385.79,542.50,553.36,651.00,663.96,591.82,603.60,639.08,651.84,350.66,357.82,522.42,532.99,508.45,518.84,460.96,484.01,185.38,189.07,904.50,922.66,632.48,645.07
31x275,2255.04,2300.16,1413.39,1460.15,1125.32,1147.84,2825.38,2838.08,1553.06,1584.14,605.22,617.23,726.22,740.70,660.20,673.37,713.51,727.93,390.62,398.36,581.88,593.44,566.40,577.62,507.05,532.40,188.15,191.85,1006.65,1026.75,703.86,717.95
31x300,2757.54,2812.43,1748.67,1783.55,1380.46,1408.06,3082.23,3094.94,1899.14,1936.94,671.29,684.57,805.50,821.51,732.27,746.82,787.53,803.19,433.36,442.02,645.46,658.51,628.37,640.93,553.19,580.85,236.66,241.40,1116.84,1139.15,780.90,796.60
38x100,628.59,641.40,399.17,407.14,305.61,311.73,1095.15,1107.84,432.92,441.74,243.13,247.98,291.71,297.55,265.19,270.50,284.55,20.37,158.47,161.70,236.02,240.81,237.70,242.55,226.03,237.34,95.29,97.25,399.45,407.48,279.28,284.82
38x125,813.22,829.69,517.44,527.84,398.94,407.02,1368.93,1381.63,560.07,571.41,307.46,313.58,368.95,376.32,335.41,342.11,361.33,368.68,198.43,202.36,295.48,301.43,297.64,303.53,282.51,296.64,117.58,119.89,508.11,518.23,355.28,362.32
38x150,1024.23,1044.66,649.57,662.39,500.81,510.74,1642.71,1655.41,705.39,719.46,375.14,382.65,450.14,459.16,409.22,417.42,438.25,447.12,240.24,245.09,357.91,365.01,360.36,367.64,339.05,356.00,142.53,145.41,620.37,632.99,433.82,442.60
38x175,1243.92,1268.77,787.94,803.76,608.45,620.70,1916.49,1929.19,856.70,873.81,442.83,451.72,531.32,542.00,483.02,492.72,518.78,529.31,285.17,290.83,424.80,433.23,413.50,421.70,395.59,415.37,165.17,168.40,737.07,751.63,515.36,525.64
38x200,1613.33,1645.81,1024.49,1044.93,797.64,813.58,2190.28,2209.98,1111.11,1133.48,510.28,520.44,612.38,624.58,556.71,567.80,599.17,611.36,329.75,336.45,491.20,501.11,478.14,487.85,452.07,474.67,190.11,193.81,849.48,866.53,593.90,605.91
38x225,1890.05,1927.86,1174.40,1221.30,937.40,95.11,2833.67,2846.38,1301.69,1327.73,581.31,592.86,697.50,711.48,634.10,646.80,683.99,697.71,374.68,382.19,558.09,569.32,543.29,554.17,508.55,533.97,209.63,213.79,969.92,989.33,678.22,691.85
38x250,2461.47,2510.86,1562.37,1593.67,1202.36,1226.49,3148.51,3161.22,165.23,1729.25,667.82,681.33,801.89,817.57,728.57,743.24,783.92,799.58,430.35,439.02,641.17,653.89,624.01,636.57,565.08,593.34,239.66,244.51,1112.54,1134.86,778.01,793.49
38x275,2761.51,2816.70,1752.02,1787.13,1377.68,1405.20,3463.37,3476.08,1901.87,1936.88,743.24,758.26,891.89,909.93,810.81,827.21,870.27,887.73,494.92,504.85,737.39,751.95,717.60,732.04,621.26,652.70,245.09,249.94,1235.34,1260.15,863.82,881.15
38x300,3375.92,3443.61,2138.25,2181.22,1689.42,1723.26,3778.23,3790.93,2325.02,2371.64,824.55,841.07,989.47,1009.29,899.51,917.53,968.40,987.66,530.03,540.77,789.49,805.51,768.54,784.12,678.10,712.01,287.94,293.72,1375.88,1403.33,962.12,981.29
